District,zone,belt,region,Year BS,Year AD,Respiratory problems,Morbidity Number,Zone,Belt,Region
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",13490.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",5992.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Pneumonia,6910.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,242.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Bronchitis,3191.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Asthama,3118.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Viral Influnenza,1790.0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,178.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",7157.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",4019.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Pneumonia,5056.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,110.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Bronchitis,2625.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Asthama,1493.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Viral Influnenza,1273.0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,93.0,Kosi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",8802.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",7682.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Pneumonia,5394.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Sever Pneumonia,291.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Bronchitis,1515.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Asthama,1579.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Viral Influnenza,3744.0,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Foreign body in respiratory tract,71.0,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,"ARI/Lower respiratory
tract Infection",21951.0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,"Upper respiratory tract
Infection",33588.0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Pneumonia,14501.0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Sever Pneumonia,1205.0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Bronchitis,7298.0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Asthama,5969.0,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Viral Influnenza,9527.0,Mechi,Terai,Eastern
