District,Year,Respiratory problems,Morbidity Number
Bhojpur,2066/67,"ARI/Lower respiratory
tract Infection",13490
Bhojpur,2066/67,"Upper respiratory tract
Infection",5992
Bhojpur,2066/67,Pneumonia,6910
Bhojpur,2066/67,Sever Pneumonia,242
Bhojpur,2066/67,Bronchitis,3191
Bhojpur,2066/67,Asthama,3118
Bhojpur,2066/67,Viral Influnenza,1790
Bhojpur,2066/67,Foreign body in respiratory tract,178
Dhankuta,2066/67,"ARI/Lower respiratory
tract Infection",7157
Dhankuta,2066/67,"Upper respiratory tract
Infection",4019
Dhankuta,2066/67,Pneumonia,5056
Dhankuta,2066/67,Sever Pneumonia,110
Dhankuta,2066/67,Bronchitis,2625
Dhankuta,2066/67,Asthama,1493
Dhankuta,2066/67,Viral Influnenza,1273
Dhankuta,2066/67,Foreign body in respiratory tract,93
Ilam,2066/67,"ARI/Lower respiratory
tract Infection",8802
Ilam,2066/67,"Upper respiratory tract
Infection",7682
Ilam,2066/67,Pneumonia,5394
Ilam,2066/67,Sever Pneumonia,291
Ilam,2066/67,Bronchitis,1515
Ilam,2066/67,Asthama,1579
Ilam,2066/67,Viral Influnenza,3744
Ilam,2066/67,Foreign body in respiratory tract,71
Jhapa,2066/67,"ARI/Lower respiratory
tract Infection",21951
Jhapa,2066/67,"Upper respiratory tract
Infection",33588
Jhapa,2066/67,Pneumonia,14501
Jhapa,2066/67,Sever Pneumonia,1205
Jhapa,2066/67,Bronchitis,7298
Jhapa,2066/67,Asthama,5969
Jhapa,2066/67,Viral Influnenza,9527
Jhapa,2066/67,Foreign body in respiratory tract,98
Khotang,2066/67,"ARI/Lower respiratory
tract Infection",11472
Khotang,2066/67,"Upper respiratory tract
Infection",9835
Khotang,2066/67,Pneumonia,6826
Khotang,2066/67,Sever Pneumonia,471
Khotang,2066/67,Bronchitis,2992
Khotang,2066/67,Asthama,3508
Khotang,2066/67,Viral Influnenza,811
Khotang,2066/67,Foreign body in respiratory tract,159
Morang,2066/67,"ARI/Lower respiratory
tract Infection",29984
Morang,2066/67,"Upper respiratory tract
Infection",26767
Morang,2066/67,Pneumonia,12185
Morang,2066/67,Sever Pneumonia,645
Morang,2066/67,Bronchitis,7842
Morang,2066/67,Asthama,5541
Morang,2066/67,Viral Influnenza,2867
Morang,2066/67,Foreign body in respiratory tract,252
Okhaldhunga,2066/67,"ARI/Lower respiratory
tract Infection",16122
Okhaldhunga,2066/67,"Upper respiratory tract
Infection",13082
Okhaldhunga,2066/67,Pneumonia,6836
Okhaldhunga,2066/67,Sever Pneumonia,336
Okhaldhunga,2066/67,Bronchitis,3441
Okhaldhunga,2066/67,Asthama,4105
Okhaldhunga,2066/67,Viral Influnenza,1177
Okhaldhunga,2066/67,Foreign body in respiratory tract,142
Panchthar,2066/67,"ARI/Lower respiratory
tract Infection",8205
Panchthar,2066/67,"Upper respiratory tract
Infection",6140
Panchthar,2066/67,Pneumonia,5709
Panchthar,2066/67,Sever Pneumonia,341
Panchthar,2066/67,Bronchitis,1490
Panchthar,2066/67,Asthama,1604
Panchthar,2066/67,Viral Influnenza,587
Panchthar,2066/67,Foreign body in respiratory tract,43
Sankhuwasabha,2066/67,"ARI/Lower respiratory
tract Infection",10112
Sankhuwasabha,2066/67,"Upper respiratory tract
Infection",7286
Sankhuwasabha,2066/67,Pneumonia,5702
Sankhuwasabha,2066/67,Sever Pneumonia,141
Sankhuwasabha,2066/67,Bronchitis,1087
Sankhuwasabha,2066/67,Asthama,2110
Sankhuwasabha,2066/67,Viral Influnenza,622
Sankhuwasabha,2066/67,Foreign body in respiratory tract,63
Saptari,2066/67,"ARI/Lower respiratory
tract Infection",35796
Saptari,2066/67,"Upper respiratory tract
Infection",22835
Saptari,2066/67,Pneumonia,12328
Saptari,2066/67,Sever Pneumonia,265
Saptari,2066/67,Bronchitis,12298
Saptari,2066/67,Asthama,9521
Saptari,2066/67,Viral Influnenza,6339
Saptari,2066/67,Foreign body in respiratory tract,207
Siraha,2066/67,"ARI/Lower respiratory
tract Infection",30568
Siraha,2066/67,"Upper respiratory tract
Infection",28282
Siraha,2066/67,Pneumonia,14386
Siraha,2066/67,Sever Pneumonia,677
Siraha,2066/67,Bronchitis,12588
Siraha,2066/67,Asthama,8811
Siraha,2066/67,Viral Influnenza,3791
Siraha,2066/67,Foreign body in respiratory tract,207
Solukhumbu,2066/67,"ARI/Lower respiratory
tract Infection",7358
Solukhumbu,2066/67,"Upper respiratory tract
Infection",8259
Solukhumbu,2066/67,Pneumonia,2385
Solukhumbu,2066/67,Sever Pneumonia,180
Solukhumbu,2066/67,Bronchitis,2499
Solukhumbu,2066/67,Asthama,2382
Solukhumbu,2066/67,Viral Influnenza,164
Solukhumbu,2066/67,Foreign body in respiratory tract,120
Sunsari,2066/67,"ARI/Lower respiratory
tract Infection",36345
Sunsari,2066/67,"Upper respiratory tract
Infection",27927
Sunsari,2066/67,Pneumonia,18023
Sunsari,2066/67,Sever Pneumonia,696
Sunsari,2066/67,Bronchitis,4228
Sunsari,2066/67,Asthama,5365
Sunsari,2066/67,Viral Influnenza,2489
Sunsari,2066/67,Foreign body in respiratory tract,58
Taplejung,2066/67,"ARI/Lower respiratory
tract Infection",8308
Taplejung,2066/67,"Upper respiratory tract
Infection",7036
Taplejung,2066/67,Pneumonia,4861
Taplejung,2066/67,Sever Pneumonia,357
Taplejung,2066/67,Bronchitis,1601
Taplejung,2066/67,Asthama,1943
Taplejung,2066/67,Viral Influnenza,1287
Taplejung,2066/67,Foreign body in respiratory tract,117
Teharthum,2066/67,"ARI/Lower respiratory
tract Infection",5014
Teharthum,2066/67,"Upper respiratory tract
Infection",6492
Teharthum,2066/67,Pneumonia,3836
Teharthum,2066/67,Sever Pneumonia,74
Teharthum,2066/67,Bronchitis,1906
Teharthum,2066/67,Asthama,1362
Teharthum,2066/67,Viral Influnenza,870
Teharthum,2066/67,Foreign body in respiratory tract,83
Udaypur,2066/67,"ARI/Lower respiratory
tract Infection",8077
Udaypur,2066/67,"Upper respiratory tract
Infection",5944
Udaypur,2066/67,Pneumonia,4104
Udaypur,2066/67,Sever Pneumonia,223
Udaypur,2066/67,Bronchitis,3462
Udaypur,2066/67,Asthama,2485
Udaypur,2066/67,Viral Influnenza,1562
Udaypur,2066/67,Foreign body in respiratory tract,267
Bara,2066/67,"ARI/Lower respiratory
tract Infection",17293
Bara,2066/67,"Upper respiratory tract
Infection",14895
Bara,2066/67,Pneumonia,7476
Bara,2066/67,Sever Pneumonia,597
Bara,2066/67,Bronchitis,8218
Bara,2066/67,Asthama,9115
Bara,2066/67,Viral Influnenza,1284
Bara,2066/67,Foreign body in respiratory tract,181
Bhaktapur,2066/67,"ARI/Lower respiratory
tract Infection",6730
Bhaktapur,2066/67,"Upper respiratory tract
Infection",7861
Bhaktapur,2066/67,Pneumonia,2787
Bhaktapur,2066/67,Sever Pneumonia,26
Bhaktapur,2066/67,Bronchitis,1170
Bhaktapur,2066/67,Asthama,2406
Bhaktapur,2066/67,Viral Influnenza,1607
Bhaktapur,2066/67,Foreign body in respiratory tract,61
Chitwan,2066/67,"ARI/Lower respiratory
tract Infection",13222
Chitwan,2066/67,"Upper respiratory tract
Infection",12853
Chitwan,2066/67,Pneumonia,7452
Chitwan,2066/67,Sever Pneumonia,225
Chitwan,2066/67,Bronchitis,3514
Chitwan,2066/67,Asthama,5214
Chitwan,2066/67,Viral Influnenza,2487
Chitwan,2066/67,Foreign body in respiratory tract,582
Dhading,2066/67,"ARI/Lower respiratory
tract Infection",15449
Dhading,2066/67,"Upper respiratory tract
Infection",11236
Dhading,2066/67,Pneumonia,8163
Dhading,2066/67,Sever Pneumonia,480
Dhading,2066/67,Bronchitis,4059
Dhading,2066/67,Asthama,6057
Dhading,2066/67,Viral Influnenza,4603
Dhading,2066/67,Foreign body in respiratory tract,110
Dhanusha,2066/67,"ARI/Lower respiratory
tract Infection",35310
Dhanusha,2066/67,"Upper respiratory tract
Infection",24498
Dhanusha,2066/67,Pneumonia,12300
Dhanusha,2066/67,Sever Pneumonia,456
Dhanusha,2066/67,Bronchitis,11579
Dhanusha,2066/67,Asthama,12362
Dhanusha,2066/67,Viral Influnenza,5131
Dhanusha,2066/67,Foreign body in respiratory tract,419
Dolkha,2066/67,"ARI/Lower respiratory
tract Infection",14019
Dolkha,2066/67,"Upper respiratory tract
Infection",10892
Dolkha,2066/67,Pneumonia,4040
Dolkha,2066/67,Sever Pneumonia,135
Dolkha,2066/67,Bronchitis,2597
Dolkha,2066/67,Asthama,3619
Dolkha,2066/67,Viral Influnenza,1866
Dolkha,2066/67,Foreign body in respiratory tract,289
Kathmandu,2066/67,"ARI/Lower respiratory
tract Infection",18188
Kathmandu,2066/67,"Upper respiratory tract
Infection",17910
Kathmandu,2066/67,Pneumonia,7305
Kathmandu,2066/67,Sever Pneumonia,265
Kathmandu,2066/67,Bronchitis,4146
Kathmandu,2066/67,Asthama,10210
Kathmandu,2066/67,Viral Influnenza,3687
Kathmandu,2066/67,Foreign body in respiratory tract,479
Kavre,2066/67,"ARI/Lower respiratory
tract Infection",23570
Kavre,2066/67,"Upper respiratory tract
Infection",21259
Kavre,2066/67,Pneumonia,8351
Kavre,2066/67,Sever Pneumonia,180
Kavre,2066/67,Bronchitis,5436
Kavre,2066/67,Asthama,7846
Kavre,2066/67,Viral Influnenza,4733
Kavre,2066/67,Foreign body in respiratory tract,152
Lalitpur,2066/67,"ARI/Lower respiratory
tract Infection",0
Lalitpur,2066/67,"Upper respiratory tract
Infection",0
Lalitpur,2066/67,Pneumonia,0
Lalitpur,2066/67,Sever Pneumonia,0
Lalitpur,2066/67,Bronchitis,0
Lalitpur,2066/67,Asthama,0
Lalitpur,2066/67,Viral Influnenza,0
Lalitpur,2066/67,Foreign body in respiratory tract,0
Mahottari,2066/67,"ARI/Lower respiratory
tract Infection",21082
Mahottari,2066/67,"Upper respiratory tract
Infection",16752
Mahottari,2066/67,Pneumonia,8946
Mahottari,2066/67,Sever Pneumonia,620
Mahottari,2066/67,Bronchitis,9160
Mahottari,2066/67,Asthama,9457
Mahottari,2066/67,Viral Influnenza,2489
Mahottari,2066/67,Foreign body in respiratory tract,358
Makawanpur,2066/67,"ARI/Lower respiratory
tract Infection",7233
Makawanpur,2066/67,"Upper respiratory tract
Infection",7329
Makawanpur,2066/67,Pneumonia,4500
Makawanpur,2066/67,Sever Pneumonia,393
Makawanpur,2066/67,Bronchitis,3516
Makawanpur,2066/67,Asthama,2687
Makawanpur,2066/67,Viral Influnenza,1504
Makawanpur,2066/67,Foreign body in respiratory tract,89
Nuwakot,2066/67,"ARI/Lower respiratory
tract Infection",6869
Nuwakot,2066/67,"Upper respiratory tract
Infection",5843
Nuwakot,2066/67,Pneumonia,3066
Nuwakot,2066/67,Sever Pneumonia,157
Nuwakot,2066/67,Bronchitis,2006
Nuwakot,2066/67,Asthama,5051
Nuwakot,2066/67,Viral Influnenza,871
Nuwakot,2066/67,Foreign body in respiratory tract,85
Parsa,2066/67,"ARI/Lower respiratory
tract Infection",0
Parsa,2066/67,"Upper respiratory tract
Infection",0
Parsa,2066/67,Pneumonia,0
Parsa,2066/67,Sever Pneumonia,0
Parsa,2066/67,Bronchitis,0
Parsa,2066/67,Asthama,0
Parsa,2066/67,Viral Influnenza,0
Parsa,2066/67,Foreign body in respiratory tract,0
Ramechhap,2066/67,"ARI/Lower respiratory
tract Infection",8265
Ramechhap,2066/67,"Upper respiratory tract
Infection",8780
Ramechhap,2066/67,Pneumonia,3870
Ramechhap,2066/67,Sever Pneumonia,69
Ramechhap,2066/67,Bronchitis,2548
Ramechhap,2066/67,Asthama,2848
Ramechhap,2066/67,Viral Influnenza,1716
Ramechhap,2066/67,Foreign body in respiratory tract,61
Rasuwa,2066/67,"ARI/Lower respiratory
tract Infection",2752
Rasuwa,2066/67,"Upper respiratory tract
Infection",2457
Rasuwa,2066/67,Pneumonia,835
Rasuwa,2066/67,Sever Pneumonia,29
Rasuwa,2066/67,Bronchitis,363
Rasuwa,2066/67,Asthama,739
Rasuwa,2066/67,Viral Influnenza,1052
Rasuwa,2066/67,Foreign body in respiratory tract,14
Rautahat,2066/67,"ARI/Lower respiratory
tract Infection",12788
Rautahat,2066/67,"Upper respiratory tract
Infection",13334
Rautahat,2066/67,Pneumonia,8305
Rautahat,2066/67,Sever Pneumonia,533
Rautahat,2066/67,Bronchitis,8323
Rautahat,2066/67,Asthama,8441
Rautahat,2066/67,Viral Influnenza,1164
Rautahat,2066/67,Foreign body in respiratory tract,224
Sarlahi,2066/67,"ARI/Lower respiratory
tract Infection",24257
Sarlahi,2066/67,"Upper respiratory tract
Infection",20570
Sarlahi,2066/67,Pneumonia,8098
Sarlahi,2066/67,Sever Pneumonia,631
Sarlahi,2066/67,Bronchitis,13067
Sarlahi,2066/67,Asthama,14116
Sarlahi,2066/67,Viral Influnenza,1597
Sarlahi,2066/67,Foreign body in respiratory tract,218
Sindhuli,2066/67,"ARI/Lower respiratory
tract Infection",5369
Sindhuli,2066/67,"Upper respiratory tract
Infection",4559
Sindhuli,2066/67,Pneumonia,4193
Sindhuli,2066/67,Sever Pneumonia,294
Sindhuli,2066/67,Bronchitis,2161
Sindhuli,2066/67,Asthama,3017
Sindhuli,2066/67,Viral Influnenza,489
Sindhuli,2066/67,Foreign body in respiratory tract,178
Sindhupalchowk,2066/67,"ARI/Lower respiratory
tract Infection",14278
Sindhupalchowk,2066/67,"Upper respiratory tract
Infection",12584
Sindhupalchowk,2066/67,Pneumonia,6150
Sindhupalchowk,2066/67,Sever Pneumonia,175
Sindhupalchowk,2066/67,Bronchitis,3679
Sindhupalchowk,2066/67,Asthama,5096
Sindhupalchowk,2066/67,Viral Influnenza,3364
Sindhupalchowk,2066/67,Foreign body in respiratory tract,117
Arghakhanchi,2066/67,"ARI/Lower respiratory
tract Infection",9050
Arghakhanchi,2066/67,"Upper respiratory tract
Infection",6622
Arghakhanchi,2066/67,Pneumonia,5595
Arghakhanchi,2066/67,Sever Pneumonia,95
Arghakhanchi,2066/67,Bronchitis,5178
Arghakhanchi,2066/67,Asthama,4220
Arghakhanchi,2066/67,Viral Influnenza,1833
Arghakhanchi,2066/67,Foreign body in respiratory tract,178
Baglung,2066/67,"ARI/Lower respiratory
tract Infection",13936
Baglung,2066/67,"Upper respiratory tract
Infection",15372
Baglung,2066/67,Pneumonia,5332
Baglung,2066/67,Sever Pneumonia,443
Baglung,2066/67,Bronchitis,4029
Baglung,2066/67,Asthama,2445
Baglung,2066/67,Viral Influnenza,1208
Baglung,2066/67,Foreign body in respiratory tract,304
Gorkha,2066/67,"ARI/Lower respiratory
tract Infection",13709
Gorkha,2066/67,"Upper respiratory tract
Infection",11405
Gorkha,2066/67,Pneumonia,8348
Gorkha,2066/67,Sever Pneumonia,176
Gorkha,2066/67,Bronchitis,4750
Gorkha,2066/67,Asthama,5630
Gorkha,2066/67,Viral Influnenza,5520
Gorkha,2066/67,Foreign body in respiratory tract,408
Gulmi,2066/67,"ARI/Lower respiratory
tract Infection",21955
Gulmi,2066/67,"Upper respiratory tract
Infection",14070
Gulmi,2066/67,Pneumonia,9997
Gulmi,2066/67,Sever Pneumonia,507
Gulmi,2066/67,Bronchitis,8327
Gulmi,2066/67,Asthama,5660
Gulmi,2066/67,Viral Influnenza,4907
Gulmi,2066/67,Foreign body in respiratory tract,234
Kapilvastu,2066/67,"ARI/Lower respiratory
tract Infection",18452
Kapilvastu,2066/67,"Upper respiratory tract
Infection",18660
Kapilvastu,2066/67,Pneumonia,8148
Kapilvastu,2066/67,Sever Pneumonia,1020
Kapilvastu,2066/67,Bronchitis,9302
Kapilvastu,2066/67,Asthama,8196
Kapilvastu,2066/67,Viral Influnenza,1923
Kapilvastu,2066/67,Foreign body in respiratory tract,500
Kaski,2066/67,"ARI/Lower respiratory
tract Infection",19083
Kaski,2066/67,"Upper respiratory tract
Infection",17404
Kaski,2066/67,Pneumonia,3576
Kaski,2066/67,Sever Pneumonia,253
Kaski,2066/67,Bronchitis,4932
Kaski,2066/67,Asthama,5211
Kaski,2066/67,Viral Influnenza,2724
Kaski,2066/67,Foreign body in respiratory tract,1524
Lamjung,2066/67,"ARI/Lower respiratory
tract Infection",6098
Lamjung,2066/67,"Upper respiratory tract
Infection",5203
Lamjung,2066/67,Pneumonia,3351
Lamjung,2066/67,Sever Pneumonia,137
Lamjung,2066/67,Bronchitis,2520
Lamjung,2066/67,Asthama,4531
Lamjung,2066/67,Viral Influnenza,1593
Lamjung,2066/67,Foreign body in respiratory tract,96
Manang,2066/67,"ARI/Lower respiratory
tract Infection",550
Manang,2066/67,"Upper respiratory tract
Infection",622
Manang,2066/67,Pneumonia,172
Manang,2066/67,Sever Pneumonia,24
Manang,2066/67,Bronchitis,248
Manang,2066/67,Asthama,178
Manang,2066/67,Viral Influnenza,44
Manang,2066/67,Foreign body in respiratory tract,0
Mustang,2066/67,"ARI/Lower respiratory
tract Infection",2269
Mustang,2066/67,"Upper respiratory tract
Infection",2712
Mustang,2066/67,Pneumonia,620
Mustang,2066/67,Sever Pneumonia,22
Mustang,2066/67,Bronchitis,280
Mustang,2066/67,Asthama,151
Mustang,2066/67,Viral Influnenza,65
Mustang,2066/67,Foreign body in respiratory tract,19
Myagdi,2066/67,"ARI/Lower respiratory
tract Infection",8370
Myagdi,2066/67,"Upper respiratory tract
Infection",7819
Myagdi,2066/67,Pneumonia,2172
Myagdi,2066/67,Sever Pneumonia,117
Myagdi,2066/67,Bronchitis,2006
Myagdi,2066/67,Asthama,1462
Myagdi,2066/67,Viral Influnenza,2079
Myagdi,2066/67,Foreign body in respiratory tract,107
Nawalparasi,2066/67,"ARI/Lower respiratory
tract Infection",23409
Nawalparasi,2066/67,"Upper respiratory tract
Infection",22603
Nawalparasi,2066/67,Pneumonia,11141
Nawalparasi,2066/67,Sever Pneumonia,313
Nawalparasi,2066/67,Bronchitis,6141
Nawalparasi,2066/67,Asthama,8245
Nawalparasi,2066/67,Viral Influnenza,2085
Nawalparasi,2066/67,Foreign body in respiratory tract,29
Palpa,2066/67,"ARI/Lower respiratory
tract Infection",14805
Palpa,2066/67,"Upper respiratory tract
Infection",10973
Palpa,2066/67,Pneumonia,6688
Palpa,2066/67,Sever Pneumonia,41
Palpa,2066/67,Bronchitis,5858
Palpa,2066/67,Asthama,6685
Palpa,2066/67,Viral Influnenza,3924
Palpa,2066/67,Foreign body in respiratory tract,140
Parbat,2066/67,"ARI/Lower respiratory
tract Infection",15568
Parbat,2066/67,"Upper respiratory tract
Infection",16736
Parbat,2066/67,Pneumonia,5370
Parbat,2066/67,Sever Pneumonia,317
Parbat,2066/67,Bronchitis,2690
Parbat,2066/67,Asthama,3630
Parbat,2066/67,Viral Influnenza,1242
Parbat,2066/67,Foreign body in respiratory tract,89
Rupandehi,2066/67,"ARI/Lower respiratory
tract Infection",0
Rupandehi,2066/67,"Upper respiratory tract
Infection",0
Rupandehi,2066/67,Pneumonia,0
Rupandehi,2066/67,Sever Pneumonia,0
Rupandehi,2066/67,Bronchitis,0
Rupandehi,2066/67,Asthama,0
Rupandehi,2066/67,Viral Influnenza,0
Rupandehi,2066/67,Foreign body in respiratory tract,0
Syangja,2066/67,"ARI/Lower respiratory
tract Infection",22290
Syangja,2066/67,"Upper respiratory tract
Infection",17114
Syangja,2066/67,Pneumonia,5519
Syangja,2066/67,Sever Pneumonia,268
Syangja,2066/67,Bronchitis,5732
Syangja,2066/67,Asthama,7343
Syangja,2066/67,Viral Influnenza,1950
Syangja,2066/67,Foreign body in respiratory tract,282
Tanahu,2066/67,"ARI/Lower respiratory
tract Infection",10496
Tanahu,2066/67,"Upper respiratory tract
Infection",8242
Tanahu,2066/67,Pneumonia,3177
Tanahu,2066/67,Sever Pneumonia,101
Tanahu,2066/67,Bronchitis,2275
Tanahu,2066/67,Asthama,3610
Tanahu,2066/67,Viral Influnenza,2411
Tanahu,2066/67,Foreign body in respiratory tract,177
Banke,2066/67,"ARI/Lower respiratory
tract Infection",21179
Banke,2066/67,"Upper respiratory tract
Infection",21371
Banke,2066/67,Pneumonia,8721
Banke,2066/67,Sever Pneumonia,166
Banke,2066/67,Bronchitis,3193
Banke,2066/67,Asthama,6004
Banke,2066/67,Viral Influnenza,3276
Banke,2066/67,Foreign body in respiratory tract,61
Bardiya,2066/67,"ARI/Lower respiratory
tract Infection",22244
Bardiya,2066/67,"Upper respiratory tract
Infection",25062
Bardiya,2066/67,Pneumonia,9647
Bardiya,2066/67,Sever Pneumonia,453
Bardiya,2066/67,Bronchitis,8121
Bardiya,2066/67,Asthama,6333
Bardiya,2066/67,Viral Influnenza,2802
Bardiya,2066/67,Foreign body in respiratory tract,141
Dailekh,2066/67,"ARI/Lower respiratory
tract Infection",23824
Dailekh,2066/67,"Upper respiratory tract
Infection",16882
Dailekh,2066/67,Pneumonia,7254
Dailekh,2066/67,Sever Pneumonia,292
Dailekh,2066/67,Bronchitis,4887
Dailekh,2066/67,Asthama,5870
Dailekh,2066/67,Viral Influnenza,456
Dailekh,2066/67,Foreign body in respiratory tract,70
Dang,2066/67,"ARI/Lower respiratory
tract Infection",17225
Dang,2066/67,"Upper respiratory tract
Infection",15017
Dang,2066/67,Pneumonia,9354
Dang,2066/67,Sever Pneumonia,719
Dang,2066/67,Bronchitis,5206
Dang,2066/67,Asthama,7237
Dang,2066/67,Viral Influnenza,1757
Dang,2066/67,Foreign body in respiratory tract,64
Dolpa,2066/67,"ARI/Lower respiratory
tract Infection",1019
Dolpa,2066/67,"Upper respiratory tract
Infection",1092
Dolpa,2066/67,Pneumonia,594
Dolpa,2066/67,Sever Pneumonia,82
Dolpa,2066/67,Bronchitis,552
Dolpa,2066/67,Asthama,563
Dolpa,2066/67,Viral Influnenza,90
