Year BS,Year AD,District,zone,belt,region,Age group,Contraceptive,Number of people,Zone,Belt,Region
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,,Condom,1250,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,<20 Years,Pills,54,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,>20 years,Pills,943,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,<20 Years,Depo,86,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,>20 years,Depo,1811,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,<20 Years,IUD,0,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,>20 years,IUD,81,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,<20 Years,Implant,2,Kosi,Hill,Eastern
2066/67,2009/10,Bhojpur,Kosi,Hill,Eastern,>20 years,Implant,261,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,,Condom,1461,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,<20 Years,Pills,123,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,>20 years,Pills,1339,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,<20 Years,Depo,154,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,>20 years,Depo,2436,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,<20 Years,IUD,1,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,>20 years,IUD,40,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,<20 Years,Implant,9,Kosi,Hill,Eastern
