District,Year,Clinical Malaria/Total Treatment,Age group,Gender,Number of people
Taplejung,2067/68,Clinical Malaria,Under 5 Years,Female,0
Taplejung,2067/68,Clinical Malaria,5 Years & Above,Male,0
Taplejung,2067/68,Clinical Malaria,Under 5 Years,Female,0
Taplejung,2067/68,Clinical Malaria,5 Years & Above,Male,1
Taplejung,2067/68,Total Treatment,Under 5 Years,Female,0
Taplejung,2067/68,Total Treatment,5 Years & Above,Male,0
Taplejung,2067/68,Total Treatment,Under 5 Years,Female,0
Taplejung,2067/68,Total Treatment,5 Years & Above,Male,1
Panchthar,2067/68,Clinical Malaria,Under 5 Years,Female,6
Panchthar,2067/68,Clinical Malaria,5 Years & Above,Male,8
Panchthar,2067/68,Clinical Malaria,Under 5 Years,Female,16
Panchthar,2067/68,Clinical Malaria,5 Years & Above,Male,33
Panchthar,2067/68,Total Treatment,Under 5 Years,Female,6
Panchthar,2067/68,Total Treatment,5 Years & Above,Male,8
Panchthar,2067/68,Total Treatment,Under 5 Years,Female,16
Panchthar,2067/68,Total Treatment,5 Years & Above,Male,33
Ilam,2067/68,Clinical Malaria,Under 5 Years,Female,10
Ilam,2067/68,Clinical Malaria,5 Years & Above,Male,15
Ilam,2067/68,Clinical Malaria,Under 5 Years,Female,148
Ilam,2067/68,Clinical Malaria,5 Years & Above,Male,184
Ilam,2067/68,Total Treatment,Under 5 Years,Female,10
Ilam,2067/68,Total Treatment,5 Years & Above,Male,15
Ilam,2067/68,Total Treatment,Under 5 Years,Female,148
Ilam,2067/68,Total Treatment,5 Years & Above,Male,184
Jhapa,2067/68,Clinical Malaria,Under 5 Years,Female,123
Jhapa,2067/68,Clinical Malaria,5 Years & Above,Male,154
Jhapa,2067/68,Clinical Malaria,Under 5 Years,Female,1484
Jhapa,2067/68,Clinical Malaria,5 Years & Above,Male,2144
Jhapa,2067/68,Total Treatment,Under 5 Years,Female,123
Jhapa,2067/68,Total Treatment,5 Years & Above,Male,154
Jhapa,2067/68,Total Treatment,Under 5 Years,Female,1484
Jhapa,2067/68,Total Treatment,5 Years & Above,Male,2144
Morang,2067/68,Clinical Malaria,Under 5 Years,Female,18
Morang,2067/68,Clinical Malaria,5 Years & Above,Male,96
Morang,2067/68,Clinical Malaria,Under 5 Years,Female,617
Morang,2067/68,Clinical Malaria,5 Years & Above,Male,3905
Morang,2067/68,Total Treatment,Under 5 Years,Female,18
Morang,2067/68,Total Treatment,5 Years & Above,Male,96
Morang,2067/68,Total Treatment,Under 5 Years,Female,617
Morang,2067/68,Total Treatment,5 Years & Above,Male,3905
Sunsari,2067/68,Clinical Malaria,Under 5 Years,Female,21
Sunsari,2067/68,Clinical Malaria,5 Years & Above,Male,30
Sunsari,2067/68,Clinical Malaria,Under 5 Years,Female,1033
Sunsari,2067/68,Clinical Malaria,5 Years & Above,Male,1143
Sunsari,2067/68,Total Treatment,Under 5 Years,Female,21
Sunsari,2067/68,Total Treatment,5 Years & Above,Male,30
Sunsari,2067/68,Total Treatment,Under 5 Years,Female,1033
Sunsari,2067/68,Total Treatment,5 Years & Above,Male,1143
Dhankuta,2067/68,Clinical Malaria,Under 5 Years,Female,15
Dhankuta,2067/68,Clinical Malaria,5 Years & Above,Male,9
Dhankuta,2067/68,Clinical Malaria,Under 5 Years,Female,69
Dhankuta,2067/68,Clinical Malaria,5 Years & Above,Male,75
Dhankuta,2067/68,Total Treatment,Under 5 Years,Female,15
Dhankuta,2067/68,Total Treatment,5 Years & Above,Male,9
Dhankuta,2067/68,Total Treatment,Under 5 Years,Female,69
Dhankuta,2067/68,Total Treatment,5 Years & Above,Male,75
Teharthum,2067/68,Clinical Malaria,Under 5 Years,Female,2
Teharthum,2067/68,Clinical Malaria,5 Years & Above,Male,0
Teharthum,2067/68,Clinical Malaria,Under 5 Years,Female,12
Teharthum,2067/68,Clinical Malaria,5 Years & Above,Male,7
Teharthum,2067/68,Total Treatment,Under 5 Years,Female,2
Teharthum,2067/68,Total Treatment,5 Years & Above,Male,0
Teharthum,2067/68,Total Treatment,Under 5 Years,Female,12
Teharthum,2067/68,Total Treatment,5 Years & Above,Male,7
Sankhuwasabha,2067/68,Clinical Malaria,Under 5 Years,Female,0
Sankhuwasabha,2067/68,Clinical Malaria,5 Years & Above,Male,0
Sankhuwasabha,2067/68,Clinical Malaria,Under 5 Years,Female,0
Sankhuwasabha,2067/68,Clinical Malaria,5 Years & Above,Male,0
Sankhuwasabha,2067/68,Total Treatment,Under 5 Years,Female,0
Sankhuwasabha,2067/68,Total Treatment,5 Years & Above,Male,0
Sankhuwasabha,2067/68,Total Treatment,Under 5 Years,Female,0
Sankhuwasabha,2067/68,Total Treatment,5 Years & Above,Male,0
Bhojpur,2067/68,Clinical Malaria,Under 5 Years,Female,20
Bhojpur,2067/68,Clinical Malaria,5 Years & Above,Male,0
Bhojpur,2067/68,Clinical Malaria,Under 5 Years,Female,21
Bhojpur,2067/68,Clinical Malaria,5 Years & Above,Male,41
Bhojpur,2067/68,Total Treatment,Under 5 Years,Female,20
Bhojpur,2067/68,Total Treatment,5 Years & Above,Male,0
Bhojpur,2067/68,Total Treatment,Under 5 Years,Female,21
Bhojpur,2067/68,Total Treatment,5 Years & Above,Male,41
Solukhumbu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Solukhumbu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Solukhumbu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Solukhumbu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Solukhumbu,2067/68,Total Treatment,Under 5 Years,Female,0
Solukhumbu,2067/68,Total Treatment,5 Years & Above,Male,0
Solukhumbu,2067/68,Total Treatment,Under 5 Years,Female,0
Solukhumbu,2067/68,Total Treatment,5 Years & Above,Male,0
Okhaldhunga,2067/68,Clinical Malaria,Under 5 Years,Female,0
Okhaldhunga,2067/68,Clinical Malaria,5 Years & Above,Male,0
Okhaldhunga,2067/68,Clinical Malaria,Under 5 Years,Female,0
Okhaldhunga,2067/68,Clinical Malaria,5 Years & Above,Male,2
Okhaldhunga,2067/68,Total Treatment,Under 5 Years,Female,0
Okhaldhunga,2067/68,Total Treatment,5 Years & Above,Male,0
Okhaldhunga,2067/68,Total Treatment,Under 5 Years,Female,0
Okhaldhunga,2067/68,Total Treatment,5 Years & Above,Male,2
Khotang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Khotang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Khotang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Khotang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Khotang,2067/68,Total Treatment,Under 5 Years,Female,0
Khotang,2067/68,Total Treatment,5 Years & Above,Male,0
Khotang,2067/68,Total Treatment,Under 5 Years,Female,0
Khotang,2067/68,Total Treatment,5 Years & Above,Male,0
Udaypur,2067/68,Clinical Malaria,Under 5 Years,Female,2
Udaypur,2067/68,Clinical Malaria,5 Years & Above,Male,3
Udaypur,2067/68,Clinical Malaria,Under 5 Years,Female,75
Udaypur,2067/68,Clinical Malaria,5 Years & Above,Male,121
Udaypur,2067/68,Total Treatment,Under 5 Years,Female,2
Udaypur,2067/68,Total Treatment,5 Years & Above,Male,3
Udaypur,2067/68,Total Treatment,Under 5 Years,Female,75
Udaypur,2067/68,Total Treatment,5 Years & Above,Male,121
Saptari,2067/68,Clinical Malaria,Under 5 Years,Female,45
Saptari,2067/68,Clinical Malaria,5 Years & Above,Male,42
Saptari,2067/68,Clinical Malaria,Under 5 Years,Female,1183
Saptari,2067/68,Clinical Malaria,5 Years & Above,Male,1054
Saptari,2067/68,Total Treatment,Under 5 Years,Female,45
Saptari,2067/68,Total Treatment,5 Years & Above,Male,42
Saptari,2067/68,Total Treatment,Under 5 Years,Female,1183
Saptari,2067/68,Total Treatment,5 Years & Above,Male,1054
Siraha,2067/68,Clinical Malaria,Under 5 Years,Female,15
Siraha,2067/68,Clinical Malaria,5 Years & Above,Male,10
Siraha,2067/68,Clinical Malaria,Under 5 Years,Female,1516
Siraha,2067/68,Clinical Malaria,5 Years & Above,Male,1598
Siraha,2067/68,Total Treatment,Under 5 Years,Female,15
Siraha,2067/68,Total Treatment,5 Years & Above,Male,10
Siraha,2067/68,Total Treatment,Under 5 Years,Female,1516
Siraha,2067/68,Total Treatment,5 Years & Above,Male,1598
