District,Year,Method,Contraceptives,Gender,Number of user
Bhojpur,2066/67,Temporary Methods,Condom,,1250
Bhojpur,2066/67,Temporary Methods,Pills,,1459
Bhojpur,2066/67,Temporary Methods,Depo,,5354
Bhojpur,2066/67,Temporary Methods,IUD,,496
Bhojpur,2066/67,Temporary Methods,Norplant,,361
Bhojpur,2066/67,Permanent method,Sterilization,Male,2789
Bhojpur,2066/67,Permanent method,Sterilization,Female,140
Dhankuta,2066/67,Temporary Methods,Condom,,1461
Dhankuta,2066/67,Temporary Methods,Pills,,2110
Dhankuta,2066/67,Temporary Methods,Depo,,4701
Dhankuta,2066/67,Temporary Methods,IUD,,362
Dhankuta,2066/67,Temporary Methods,Norplant,,662
Dhankuta,2066/67,Permanent method,Sterilization,Male,2115
Dhankuta,2066/67,Permanent method,Sterilization,Female,1872
Ilam,2066/67,Temporary Methods,Condom,,1623
Ilam,2066/67,Temporary Methods,Pills,,6533
Ilam,2066/67,Temporary Methods,Depo,,12857
Ilam,2066/67,Temporary Methods,IUD,,1309
Ilam,2066/67,Temporary Methods,Norplant,,1449
Ilam,2066/67,Permanent method,Sterilization,Male,2094
Ilam,2066/67,Permanent method,Sterilization,Female,7201
Jhapa,2066/67,Temporary Methods,Condom,,2425
Jhapa,2066/67,Temporary Methods,Pills,,7072
Jhapa,2066/67,Temporary Methods,Depo,,14797
Jhapa,2066/67,Temporary Methods,IUD,,2840
Jhapa,2066/67,Temporary Methods,Norplant,,1792
Jhapa,2066/67,Permanent method,Sterilization,Male,9520
Jhapa,2066/67,Permanent method,Sterilization,Female,49656
Khotang,2066/67,Temporary Methods,Condom,,1091
Khotang,2066/67,Temporary Methods,Pills,,6099
Khotang,2066/67,Temporary Methods,Depo,,9370
Khotang,2066/67,Temporary Methods,IUD,,1270
Khotang,2066/67,Temporary Methods,Norplant,,350
Khotang,2066/67,Permanent method,Sterilization,Male,2654
Khotang,2066/67,Permanent method,Sterilization,Female,221
Morang,2066/67,Temporary Methods,Condom,,3857
Morang,2066/67,Temporary Methods,Pills,,6306
Morang,2066/67,Temporary Methods,Depo,,18503
Morang,2066/67,Temporary Methods,IUD,,4153
Morang,2066/67,Temporary Methods,Norplant,,2932
Morang,2066/67,Permanent method,Sterilization,Male,5623
Morang,2066/67,Permanent method,Sterilization,Female,88739
Okhaldhunga,2066/67,Temporary Methods,Condom,,855
Okhaldhunga,2066/67,Temporary Methods,Pills,,1855
Okhaldhunga,2066/67,Temporary Methods,Depo,,5655
Okhaldhunga,2066/67,Temporary Methods,IUD,,386
Okhaldhunga,2066/67,Temporary Methods,Norplant,,781
Okhaldhunga,2066/67,Permanent method,Sterilization,Male,2372
Okhaldhunga,2066/67,Permanent method,Sterilization,Female,289
Panchthar,2066/67,Temporary Methods,Condom,,1218
Panchthar,2066/67,Temporary Methods,Pills,,1981
Panchthar,2066/67,Temporary Methods,Depo,,4859
Panchthar,2066/67,Temporary Methods,IUD,,685
Panchthar,2066/67,Temporary Methods,Norplant,,728
Panchthar,2066/67,Permanent method,Sterilization,Male,2012
Panchthar,2066/67,Permanent method,Sterilization,Female,398
Sankhuwasabha,2066/67,Temporary Methods,Condom,,1036
Sankhuwasabha,2066/67,Temporary Methods,Pills,,924
Sankhuwasabha,2066/67,Temporary Methods,Depo,,3056
Sankhuwasabha,2066/67,Temporary Methods,IUD,,806
