District,zone,belt,region,Year BS,Year AD,Method,Contraceptives,Gender,Number of user,Zone,Belt,Region
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1250,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,1459,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,5354,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,496,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,361,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2789,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,140,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1461,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,2110,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,4701,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,362,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,662,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2115,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,1872,Kosi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1623,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,6533,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,12857,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,1309,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,1449,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2094,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,7201,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Condom,,2425,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Pills,,7072,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Depo,,14797,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Temporary Methods,IUD,,2840,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,1792,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,9520,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,49656,Mechi,Terai,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,1091,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,6099,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,9370,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,1270,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,350,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,2654,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,221,Sagarmatha,Hill,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Condom,,3857,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Pills,,6306,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Depo,,18503,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,IUD,,4153,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Temporary Methods,Norplant,,2932,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Male,5623,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Permanent method,Sterilization,Female,88739,Kosi,Terai,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Condom,,855,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Pills,,1855,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,Depo,,5655,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Temporary Methods,IUD,,386,Sagarmatha,Hill,Eastern
