District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of FCHV,,855
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Female Community Health Volunteers,Current Month Received Reports,,811
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of Reports Received,,9349
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Female Community Health Volunteers,Service Provided to Total Patients (New+Old),,54067
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Total Institution Supervised,323
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Number of visits,323
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NGO/INGO,Total No. of NGO/INGO,Number of visits,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NGO/INGO,Current Month Received Reports,Number of visits,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NGO/INGO,Total No. of Reports Received,Number of visits,19
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NGO/INGO,Service Provided to Total Patients (New+Old),Number of visits,10451
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Total Institution Supervised,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Number of visits,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Institution,Number of visits,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Private Health Institution,Current Month Received Reports,Number of visits,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Reports Received,Number of visits,11
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Private Health Institution,Service Provided to Total Patients (New+Old),Number of visits,3715
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Total Institution Supervised,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of FCHV,,394
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Current Month Received Reports,,376
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of Reports Received,,4475
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Service Provided to Total Patients (New+Old),,91545
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Total Institution Supervised,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Total No. of NGO/INGO,Number of visits,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Current Month Received Reports,Number of visits,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Total No. of Reports Received,Number of visits,7
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Service Provided to Total Patients (New+Old),Number of visits,1426
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Total Institution Supervised,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Institution,Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Current Month Received Reports,Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Reports Received,Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Service Provided to Total Patients (New+Old),Number of visits,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Total Institution Supervised,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Number of visits,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of FCHV,,1066
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Current Month Received Reports,,1025
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of Reports Received,,10406
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Service Provided to Total Patients (New+Old),,102353
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Total Institution Supervised,1202
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Number of visits,1150
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Total No. of NGO/INGO,Number of visits,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Current Month Received Reports,Number of visits,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Total No. of Reports Received,Number of visits,36
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Service Provided to Total Patients (New+Old),Number of visits,44037
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Total Institution Supervised,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Number of visits,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Institution,Number of visits,2
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Current Month Received Reports,Number of visits,2
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Reports Received,Number of visits,24
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Service Provided to Total Patients (New+Old),Number of visits,11000
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Total Institution Supervised,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Number of visits,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of FCHV,,527
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Current Month Received Reports,,514
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of Reports Received,,6058
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Service Provided to Total Patients (New+Old),,379457
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Total Institution Supervised,533
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Number of visits,522
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Total No. of NGO/INGO,Number of visits,31
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Current Month Received Reports,Number of visits,17
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Total No. of Reports Received,Number of visits,254
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Service Provided to Total Patients (New+Old),Number of visits,102803
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Total Institution Supervised,32
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Number of visits,33
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Institution,Number of visits,30
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Current Month Received Reports,Number of visits,13
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Reports Received,Number of visits,201
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Service Provided to Total Patients (New+Old),Number of visits,177156
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Total Institution Supervised,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Number of visits,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of FCHV,,595
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Current Month Received Reports,,591
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of Reports Received,,7064
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Service Provided to Total Patients (New+Old),,403119
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Total Institution Supervised,1681
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Number of visits,1724
Morang,Kosi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Total No. of NGO/INGO,Number of visits,8
Morang,Kosi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Current Month Received Reports,Number of visits,8
Morang,Kosi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Total No. of Reports Received,Number of visits,96
Morang,Kosi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Service Provided to Total Patients (New+Old),Number of visits,89410
Morang,Kosi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Total Institution Supervised,14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,NGO/INGO,Integrated Supervision,Number of visits,14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Institution,Number of visits,12
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Current Month Received Reports,Number of visits,13
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Total No. of Reports Received,Number of visits,140
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Service Provided to Total Patients (New+Old),Number of visits,263931
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Total Institution Supervised,23
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Private Health Institution,Integrated Supervision,Number of visits,24
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of FCHV,,1035
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Current Month Received Reports,,959
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Total No. of Reports Received,,11478
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Service Provided to Total Patients (New+Old),,452028
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Total Institution Supervised,4
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Female Community Health Volunteers,Integrated Supervision,Number of visits,4
