District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,43
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,42
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,500
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,85521
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,54
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,54
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,200
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,176
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,2049
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,31255
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,67
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,67
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,188
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,183
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,2064
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,20648
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,65
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,65
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,30
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,30
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,339
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,86763
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,3
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,3
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,156
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,147
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,1700
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,42764
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,12
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,9
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,211
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,205
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,2308
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,34734
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,9
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,9
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,38
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,38
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,456
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,109230
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,68
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,60
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,188
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,180
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,2142
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,58045
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,286
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,261
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,177
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,177
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,2077
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,41808
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,233
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,215
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,38
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,38
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,456
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,296319
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,27
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,30
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,163
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,144
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,1726
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,52361
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,155
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,166
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,268
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,252
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,2801
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,135302
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,233
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,237
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,49
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,49
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,588
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,337093
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,253
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,254
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,257
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,247
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,2940
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,113386
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,894
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,950
Morang,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,319
Morang,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,312
Morang,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,3699
Morang,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,157603
Morang,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,1148
Morang,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,1149
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,40
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,40
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,480
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,422731
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,129
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,129
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,168
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,160
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,1837
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,38805
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,273
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,273
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,297
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,287
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,3427
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,122397
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,302
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,302
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,192
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,57773
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,116
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,142
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,80
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,76
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,877
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,19197
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,33
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,25
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,152
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,149
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,1709
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,43308
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,75
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,56
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,14
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,14
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,168
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,36222
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,10
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,11
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,68
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,57
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,719
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,9285
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,10
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,11
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,118
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,112
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,1269
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,12835
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,16
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,16
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,20
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,17
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,217
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,67115
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,11
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,29
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,113
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Current Month Received Reports,Number of visits,79
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of Reports Received,Number of visits,1129
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Service Provided to Total Patients (New+Old),Number of visits,18303
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Total Institution Supervised,16
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Integrated Supervision,Number of visits,16
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Total No. of EPI clinics,Number of visits,200
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Current Month Received Reports,Number of visits,158
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Total No. of Reports Received,Number of visits,2026
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Service Provided to Total Patients (New+Old),Number of visits,19938
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Total Institution Supervised,19
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,EPI Clinic,Integrated Supervision,Number of visits,21
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Sub Health Post,,51
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Current Month Received Reports,,51
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Total No. of Reports Received,,612
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Service Provided to Total Patients (New+Old),,141246
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Total Institution Supervised,87
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Sub Health Post,Integrated Supervision,Number of visits,87
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PHC/Outreach Clinic,Total No. of clinics,Number of visits,196
