District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Total No. of Hospital,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Current Month Received Reports,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Total No. of Reports Received,,12
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Service Provided to Total Patients (New+Old),,35313
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHCC/HC,Total No. of PHCC,,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHCC/HC,Current Month Received Reports,,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHCC/HC,Total No. of Reports Received,,24
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHCC/HC,Service Provided to Total Patients (New+Old),,7324
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHCC/HC,Integrated Supervision ,Total Institution Supervised,9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHCC/HC,Integrated Supervision ,Number of visits,9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Health Post,Total No. of Health Post,Number of visits,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Health Post,Current Month Received Reports,Number of visits,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Health Post,Total No. of Reports Received,Number of visits,96
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Health Post,Service Provided to Total Patients (New+Old),Number of visits,35163
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Health Post,Integrated Supervision ,Total Institution Supervised,21
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Health Post,Integrated Supervision ,Number of visits,21
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Total No. of Hospital,,1
