District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Received in Doses,BCG,48800
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Received in Doses,DPT-Hep B-Hib,24870
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Received in Doses,Polio,29120
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Received in Doses,Measles,25250
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Received in Doses,JE,0
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Received in Doses,TT,15440
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Expenditure in Doses,BCG,47880
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Expenditure in Doses,DPT-Hep B-Hib,24255
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Expenditure in Doses,Polio,28860
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Expenditure in Doses,Measles,24900
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Expenditure in Doses,JE,0
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Vaccine Expenditure in Doses,TT,15072
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Received in Doses,BCG,37000
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Received in Doses,DPT-Hep B-Hib,16971
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Received in Doses,Polio,20885
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Received in Doses,Measles,19820
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Received in Doses,JE,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Received in Doses,TT,12230
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Expenditure in Doses,BCG,35069
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Vaccine Expenditure in Doses,DPT-Hep B-Hib,15920
