District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub- Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,BCG,,7676
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,7639
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,7616
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,7581
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Polio 1,,7639
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Polio 2,,7616
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Polio 3,,7581
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Measles 9-11 months,,7581
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Measles 12-23 months,,123
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1705
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,1908
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,4374
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,TT Total,TT 2+,7987
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,BCG,,4649
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,4890
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,4601
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,4699
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Polio 1,,4916
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Polio 2,,4620
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Polio 3,,4703
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Measles 9-11 months,,4616
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Measles 12-23 months,,18
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Japnese Encephalitis,,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1205
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,2269
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,2206
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,TT Total,TT 2+,5680
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,BCG,,6612
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,6609
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6371
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,6544
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Polio 1,,6609
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Polio 2,,6371
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Polio 3,,6544
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Measles 9-11 months,,6342
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Measles 12-23 months,,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,Japnese Encephalitis,,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,3693
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3956
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1033
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/2012,TT Total,TT 2+,8682
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,BCG,,6452
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,6431
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6413
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,6417
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Polio 1,,6134
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Polio 2,,6342
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Polio 3,,6417
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Measles 9-11 months,,6033
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Measles 12-23 months,,396
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1862
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,1752
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,3248
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/2012,TT Total,TT 2+,6862
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,BCG,,5322
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,5252
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,5214
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,5182
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Polio 1,,5195
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Polio 2,,5118
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Polio 3,,5125
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Measles 9-11 months,,5081
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Measles 12-23 months,,86
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,3764
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,2931
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1223
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Total,TT 2+,7918
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,BCG,,3646
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,3442
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,3420
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,3386
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Polio 1,,3433
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Polio 2,,3432
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Polio 3,,3329
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Measles 9-11 months,,3233
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Measles 12-23 months,,145
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1095
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,1119
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1237
Bajura,Seti,Mountain,Far-Western,2068/69,2011/2012,TT Total,TT 2+,3451
