District,zone,belt,region,Year BS,Year AD,Visit,Age group,Number of women,Zone,Belt,Region
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,669,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,2882,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,1584,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,538,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,2919,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,1962,Kosi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,1189,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,4193,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,3340,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,First Visit,< 20 Year,6286,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,22905,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,12070,Mechi,Terai,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,1474,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,5187,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,3401,Sagarmatha,Hill,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,First Visit,< 20 Year,4630,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,17266,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,12026,Kosi,Terai,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,800,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,3172,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,1953,Sagarmatha,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,549,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,3422,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,2437,Mechi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,First Visit,< 20 Year,772,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,2963,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,1550,Kosi,Mountain,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,First Visit,< 20 Year,2086,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,16711,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,13414,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,First Visit,< 20 Year,3508,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,15244,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,13288,Sagarmatha,Terai,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,First Visit,< 20 Year,510,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,2627,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,2053,Sagarmatha,Mountain,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,First Visit,< 20 Year,3559,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,14035,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,10028,Kosi,Terai,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,First Visit,< 20 Year,644,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,2542,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,1814,Mechi,Mountain,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,331,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,1816,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,1203,Kosi,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,First Visit,< 20 Year,1360,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,First Visit,> or equal 20 Years,5453,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Fourth Visit,Four Time Visits,3833,Sagarmatha,Hill,Eastern
Bara,Narayani,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,3951,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,13911,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,9774,Narayani,Terai,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,493,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,2597,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,1563,Bagmati,Hill,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,3603,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,10524,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,6352,Narayani,Terai,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,2025,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,6631,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,4846,Bagmati,Hill,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,4501,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,14215,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,10686,Janakpur,Terai,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,First Visit,< 20 Year,829,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,First Visit,> or equal 20 Years,3540,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,2229,Janakpur,Mountain,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,6917,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,29145,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,41390,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,2200,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,7681,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,5060,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,11624,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,9880,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,0,Bagmati,Hill,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,3131,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,16360,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,14638,Janakpur,Terai,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,1887,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,5968,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,3598,Narayani,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,1291,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,3808,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,2578,Bagmati,Hill,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,1572,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,7266,Narayani,Terai,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,715,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,3154,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,2149,Janakpur,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,First Visit,< 20 Year,215,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,First Visit,> or equal 20 Years,936,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,608,Bagmati,Mountain,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,3251,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,15127,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,10363,Narayani,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,First Visit,< 20 Year,4681,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,First Visit,> or equal 20 Years,15564,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,8623,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,First Visit,< 20 Year,1273,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,First Visit,> or equal 20 Years,4714,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,2349,Janakpur,Hill,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,First Visit,< 20 Year,1039,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,First Visit,> or equal 20 Years,4004,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Fourth Visit,Four Time Visits,2425,Bagmati,Mountain,Central
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,806,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,2917,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2238,Lumbini,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,1576,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,5531,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,3626,Dhawalagiri,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,1155,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,3936,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2328,Gandaki,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,1147,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,5340,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,4884,Lumbini,Hill,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,First Visit,< 20 Year,967,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,First Visit,> or equal 20 Years,13877,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,10634,Lumbini,Terai,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,2584,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,8792,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,8407,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,1194,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,3488,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2804,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,First Visit,< 20 Year,18,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,First Visit,> or equal 20 Years,67,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,23,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,First Visit,< 20 Year,34,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,First Visit,> or equal 20 Years,181,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,97,Dhawalagiri,Mountain,Western
