District,Year,Visit,Age group,Number of women
Bhojpur,2066/67,First Visit,< 20 Year,669
Bhojpur,2066/67,First Visit,> or equal 20 Years,2882
Bhojpur,2066/67,Fourth Visit,Four Time Visits,1584
Dhankuta,2066/67,First Visit,< 20 Year,538
Dhankuta,2066/67,First Visit,> or equal 20 Years,2919
Dhankuta,2066/67,Fourth Visit,Four Time Visits,1962
Ilam,2066/67,First Visit,< 20 Year,1189
Ilam,2066/67,First Visit,> or equal 20 Years,4193
Ilam,2066/67,Fourth Visit,Four Time Visits,3340
Jhapa,2066/67,First Visit,< 20 Year,6286
Jhapa,2066/67,First Visit,> or equal 20 Years,22905
Jhapa,2066/67,Fourth Visit,Four Time Visits,12070
Khotang,2066/67,First Visit,< 20 Year,1474
Khotang,2066/67,First Visit,> or equal 20 Years,5187
Khotang,2066/67,Fourth Visit,Four Time Visits,3401
Morang,2066/67,First Visit,< 20 Year,4630
Morang,2066/67,First Visit,> or equal 20 Years,17266
Morang,2066/67,Fourth Visit,Four Time Visits,12026
Okhaldhunga,2066/67,First Visit,< 20 Year,800
Okhaldhunga,2066/67,First Visit,> or equal 20 Years,3172
Okhaldhunga,2066/67,Fourth Visit,Four Time Visits,1953
Panchthar,2066/67,First Visit,< 20 Year,549
Panchthar,2066/67,First Visit,> or equal 20 Years,3422
Panchthar,2066/67,Fourth Visit,Four Time Visits,2437
Sankhuwasabha,2066/67,First Visit,< 20 Year,772
Sankhuwasabha,2066/67,First Visit,> or equal 20 Years,2963
Sankhuwasabha,2066/67,Fourth Visit,Four Time Visits,1550
Saptari,2066/67,First Visit,< 20 Year,2086
Saptari,2066/67,First Visit,> or equal 20 Years,16711
Saptari,2066/67,Fourth Visit,Four Time Visits,13414
Siraha,2066/67,First Visit,< 20 Year,3508
Siraha,2066/67,First Visit,> or equal 20 Years,15244
Siraha,2066/67,Fourth Visit,Four Time Visits,13288
Solukhumbu,2066/67,First Visit,< 20 Year,510
Solukhumbu,2066/67,First Visit,> or equal 20 Years,2627
Solukhumbu,2066/67,Fourth Visit,Four Time Visits,2053
Sunsari,2066/67,First Visit,< 20 Year,3559
Sunsari,2066/67,First Visit,> or equal 20 Years,14035
Sunsari,2066/67,Fourth Visit,Four Time Visits,10028
Taplejung,2066/67,First Visit,< 20 Year,644
Taplejung,2066/67,First Visit,> or equal 20 Years,2542
Taplejung,2066/67,Fourth Visit,Four Time Visits,1814
Teharthum,2066/67,First Visit,< 20 Year,331
Teharthum,2066/67,First Visit,> or equal 20 Years,1816
Teharthum,2066/67,Fourth Visit,Four Time Visits,1203
Udaypur,2066/67,First Visit,< 20 Year,1360
Udaypur,2066/67,First Visit,> or equal 20 Years,5453
Udaypur,2066/67,Fourth Visit,Four Time Visits,3833
Bara,2066/67,First Visit,< 20 Year,3951
Bara,2066/67,First Visit,> or equal 20 Years,13911
Bara,2066/67,Fourth Visit,Four Time Visits,9774
Bhaktapur,2066/67,First Visit,< 20 Year,493
Bhaktapur,2066/67,First Visit,> or equal 20 Years,2597
Bhaktapur,2066/67,Fourth Visit,Four Time Visits,1563
Chitwan,2066/67,First Visit,< 20 Year,3603
Chitwan,2066/67,First Visit,> or equal 20 Years,10524
Chitwan,2066/67,Fourth Visit,Four Time Visits,6352
Dhading,2066/67,First Visit,< 20 Year,2025
Dhading,2066/67,First Visit,> or equal 20 Years,6631
Dhading,2066/67,Fourth Visit,Four Time Visits,4846
Dhanusha,2066/67,First Visit,< 20 Year,4501
Dhanusha,2066/67,First Visit,> or equal 20 Years,14215
Dhanusha,2066/67,Fourth Visit,Four Time Visits,10686
Dolkha,2066/67,First Visit,< 20 Year,829
Dolkha,2066/67,First Visit,> or equal 20 Years,3540
Dolkha,2066/67,Fourth Visit,Four Time Visits,2229
Kathmandu,2066/67,First Visit,< 20 Year,6917
Kathmandu,2066/67,First Visit,> or equal 20 Years,29145
Kathmandu,2066/67,Fourth Visit,Four Time Visits,41390
Kavre,2066/67,First Visit,< 20 Year,2200
Kavre,2066/67,First Visit,> or equal 20 Years,7681
Kavre,2066/67,Fourth Visit,Four Time Visits,5060
Lalitpur,2066/67,First Visit,< 20 Year,11624
Lalitpur,2066/67,First Visit,> or equal 20 Years,9880
Lalitpur,2066/67,Fourth Visit,Four Time Visits,0
Mahottari,2066/67,First Visit,< 20 Year,3131
Mahottari,2066/67,First Visit,> or equal 20 Years,16360
Mahottari,2066/67,Fourth Visit,Four Time Visits,14638
Makawanpur,2066/67,First Visit,< 20 Year,1887
Makawanpur,2066/67,First Visit,> or equal 20 Years,5968
Makawanpur,2066/67,Fourth Visit,Four Time Visits,3598
Nuwakot,2066/67,First Visit,< 20 Year,1291
Nuwakot,2066/67,First Visit,> or equal 20 Years,3808
Nuwakot,2066/67,Fourth Visit,Four Time Visits,2578
Parsa,2066/67,First Visit,< 20 Year,0
Parsa,2066/67,First Visit,> or equal 20 Years,1572
