District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Adult Male,69
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Adult Female,63
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,TG,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Child - Male (<14yr),0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Child-Female (<14yr),3
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Adult Male,91
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Adult Female,48
Morang,Kosi,Terai,Eastern,2069/70,2012/13,TG,3
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Child - Male (<14yr),2
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Child-Female (<14yr),2
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Adult Male,258
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Adult Female,156
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,TG,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Child - Male (<14yr),37
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Child-Female (<14yr),9
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,Adult Male,25
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,Adult Female,18
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,TG,2
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,Child - Male (<14yr),0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,Child-Female (<14yr),2
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,Adult Male,180
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,Adult Female,102
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,TG,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,Child - Male (<14yr),9
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,Child-Female (<14yr),2
Kavre,Bagmati,Hill,Central,2069/70,2012/13,Adult Male,14
Kavre,Bagmati,Hill,Central,2069/70,2012/13,Adult Female,15
Kavre,Bagmati,Hill,Central,2069/70,2012/13,TG,0
Kavre,Bagmati,Hill,Central,2069/70,2012/13,Child - Male (<14yr),0
Kavre,Bagmati,Hill,Central,2069/70,2012/13,Child-Female (<14yr),0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,Adult Male,104
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,Adult Female,20
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,TG,0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,Child - Male (<14yr),0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,Child-Female (<14yr),0
Bhaktapur ,Bagmati,Hill,Central,2069/70,2012/13,Adult Male,0
Bhaktapur ,Bagmati,Hill,Central,2069/70,2012/13,Adult Female,0
Bhaktapur ,Bagmati,Hill,Central,2069/70,2012/13,TG,0
Bhaktapur ,Bagmati,Hill,Central,2069/70,2012/13,Child - Male (<14yr),0
Bhaktapur ,Bagmati,Hill,Central,2069/70,2012/13,Child-Female (<14yr),0
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,Adult Male,884
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,Adult Female,671
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,TG,9
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,Child - Male (<14yr),86
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,Child-Female (<14yr),78
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,Adult Male,15
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,Adult Female,24
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,TG,0
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,Child - Male (<14yr),5
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,Child-Female (<14yr),2
Makawanpur,Narayani,Hill,Central,2069/70,2012/13,Adult Male,25
Makawanpur,Narayani,Hill,Central,2069/70,2012/13,Adult Female,27
Makawanpur,Narayani,Hill,Central,2069/70,2012/13,TG,0
