District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Pills Distribution (Cycle),,4619
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Condom Distribution to (Pcs),,40461
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Iron Tablet Distribution,,14760
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ORS Distribution (Pkts),,11877
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ANC Services Confirm,1st,1599
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ANC Services Confirm,4 Times,1064
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirm no Neonatsl bath within 24 hours,4 Times,1563
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reffer  Cough Patients (2 weeks) to HFs,4 Times,227
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mothers Group Meeting,4 Times,5669
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Confirmed Breast Feeding withn 1 hour,4 Times,1265
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Neonatal and Postnatal Mother (Vitis/Check),3 Days,1058
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Neonatal and Postnatal Mother (Vitis/Check),7 Days,917
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,FCHV Participated in PHCC/ORC,7 Days,2635
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Loan Received (Persons),7 Days,280
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Investment by Fund (Rs),7 Days,1037539
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Pills Distribution (Cycle),,9007
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Condom Distribution to (Pcs),,64117
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Iron Tablet Distribution,,105391
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ORS Distribution (Pkts),,11308
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ANC Services Confirm,1st,2814
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ANC Services Confirm,4 Times,1714
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirm no Neonatsl bath within 24 hours,4 Times,2056
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Reffer  Cough Patients (2 weeks) to HFs,4 Times,1502
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Mothers Group Meeting,4 Times,3645
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Breast Feeding withn 1 hour,4 Times,1972
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal and Postnatal Mother (Vitis/Check),3 Days,1960
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal and Postnatal Mother (Vitis/Check),7 Days,1647
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,FCHV Participated in PHCC/ORC,7 Days,1932
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Loan Received (Persons),7 Days,328
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Investment by Fund (Rs),7 Days,575909
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Pills Distribution (Cycle),,10113
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Condom Distribution to (Pcs),,63518
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Iron Tablet Distribution,,29049
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ORS Distribution (Pkts),,17078
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ANC Services Confirm,1st,3802
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ANC Services Confirm,4 Times,1703
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirm no Neonatsl bath within 24 hours,4 Times,2474
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Reffer  Cough Patients (2 weeks) to HFs,4 Times,905
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Mothers Group Meeting,4 Times,5349
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Confirmed Breast Feeding withn 1 hour,4 Times,1783
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal and Postnatal Mother (Vitis/Check),3 Days,1601
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal and Postnatal Mother (Vitis/Check),7 Days,1332
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,FCHV Participated in PHCC/ORC,7 Days,2525
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Loan Received (Persons),7 Days,145
